Current Value,Quantity,S&P 
9628.28,294,208.55
9552.18,295,208.26
9455.64,296,209.04
9803.7,297,208.47
10188.2,298,208.46
10113.9,299,206.72
10201.2,300,206.92
10169,301,206.52
9761.79,302,204.99
9735.73,303,205.56
9771.72,304,204.06
10345.6,305,205.57
10619.8,306,206.72
10466.4,307,207.91
10898.8,308,207.29
10691.9,309,206.21
10054.8,310,204.96
10748.4,311,206.46
9979.01,312,204.44
10149.8,313,204.06
9998.3,314,204.92
10596.6,315,205.51
11252.8,316,206.17
11255.9,317,208.67
11182.8,318,209.44
11648.5,319,209.53
11859.2,320,210.56
11923.4,321,209.12
11559.5,322,209.8
11559.9,323,210.25
11444,324,210.7
11544.3,325,211.53
11684.9,326,211.84
11064.5,327,211.51
10697.9,328,210.46
11236.8,329,209.36
10641,330,208
10261.5,331,208.04
10247.7,332,207.75
10498.3,333,207.17
10555.3,334,208.82
11412,335,208.3
