Date,Open,High,Low,Close,Volume,Adjusted Close
2016-06-23,209.809998,210.869995,209.270004,210.809998,95992100.0,210.809998
2016-06-22,208.649994,209.5,207.929993,208.100006,95560500.0,208.100006
2016-06-21,208.300003,208.919998,207.779999,208.440002,72461700.0,208.440002
2016-06-20,208.820007,209.610001,207.75,207.850006,82789600.0,207.850006
2016-06-17,207.169998,207.199997,205.75,206.520004,117055700.0,206.520004
2016-06-16,207.75,208.570007,205.589996,208.369995,149533100.0,207.291992
2016-06-15,208.039993,209.360001,207.529999,207.75,109124500.0,206.675204
2016-06-14,208.0,208.740005,206.919998,208.039993,125059300.0,206.963697
2016-06-13,209.360001,210.369995,208.350006,208.449997,117751200.0,207.37158
2016-06-10,210.460007,210.860001,209.429993,210.070007,113829200.0,208.983209
2016-06-09,211.509995,212.220001,211.190002,212.080002,73786900.0,210.982805
2016-06-08,211.839996,212.520004,211.690002,212.369995,66170900.0,211.271298
2016-06-07,211.529999,212.339996,211.5,211.679993,60974800.0,210.584865
2016-06-06,210.699997,211.770004,210.509995,211.350006,64887000.0,210.256586
2016-06-03,210.25,210.690002,208.860001,210.279999,101757100.0,209.192114
2016-06-02,209.800003,210.929993,209.240005,210.910004,63044700.0,209.81886
2016-06-01,209.119995,210.479996,208.889999,210.270004,69936200.0,209.182171
2016-05-31,210.559998,210.690002,209.179993,209.839996,109879400.0,208.754388
2016-05-27,209.529999,210.25,209.470001,210.240005,64211200.0,209.152328
2016-05-26,209.440002,209.710007,208.970001,209.339996,55280700.0,208.256975
2016-05-25,208.669998,209.770004,207.869995,209.279999,76621400.0,208.197288
2016-05-24,206.169998,208.240005,206.139999,207.869995,93537800.0,206.794579
2016-05-23,205.509995,205.839996,204.990005,205.210007,58682600.0,204.148352
2016-05-20,204.919998,206.100006,204.860001,205.490005,104990400.0,204.426902
2016-05-19,204.059998,204.539993,202.779999,204.199997,115430500.0,203.143567
2016-05-18,204.440002,206.300003,203.630005,204.910004,123493400.0,203.849901
2016-05-17,206.460007,206.800003,204.229996,204.850006,114924900.0,203.790214
2016-05-16,204.960007,207.339996,204.889999,206.779999,77486800.0,205.710222
2016-05-13,206.210007,206.860001,204.380005,204.759995,96474600.0,203.700668
2016-05-12,207.289993,207.490005,205.369995,206.559998,89586300.0,205.491359
2016-05-11,207.910004,208.539993,206.5,206.5,81727000.0,205.431671
2016-05-10,206.720001,208.470001,206.639999,208.449997,77472200.0,207.37158
2016-05-09,205.570007,206.399994,205.360001,205.889999,74374900.0,204.824827
2016-05-06,204.059998,205.770004,203.880005,205.720001,89315000.0,204.655708
2016-05-05,205.559998,205.979996,204.470001,204.970001,67619200.0,203.909588
2016-05-04,204.990005,205.850006,204.419998,205.009995,92243800.0,203.949374
2016-05-03,206.520004,206.800003,205.279999,206.160004,106422100.0,205.093434
2016-05-02,206.919998,208.179993,206.410004,207.970001,62188000.0,206.894068
2016-04-29,206.720001,207.130005,205.029999,206.330002,142424100.0,205.262553
2016-04-28,208.460007,209.759995,206.960007,207.449997,97216200.0,206.376753
2016-04-27,208.470001,209.809998,208.050003,209.350006,77329400.0,208.266933
2016-04-26,209.039993,209.520004,208.360001,208.919998,75864200.0,207.83915
2016-04-25,208.259995,208.660004,207.539993,208.610001,66166500.0,207.530756
2016-04-22,208.550003,209.289993,207.910004,208.970001,99251700.0,207.888894
2016-04-21,210.119995,210.25,208.649994,208.970001,85695000.0,207.888894
2016-04-20,209.949997,210.919998,209.389999,210.100006,81100300.0,209.013053
2016-04-19,209.740005,210.199997,208.940002,209.899994,88316100.0,208.814075
2016-04-18,207.779999,209.279999,207.0,209.240005,82531000.0,208.157501
2016-04-15,208.009995,208.169998,207.399994,207.779999,75761600.0,206.705048
2016-04-14,208.070007,208.600006,207.600006,208.009995,65212900.0,206.933854
2016-04-13,207.0,208.100006,206.839996,208.0,96336400.0,206.923911
2016-04-12,204.220001,206.25,203.699997,205.919998,115350600.0,204.85467
2016-04-11,205.25,206.070007,203.910004,204.020004,83757500.0,202.964506
2016-04-08,205.339996,205.850006,203.869995,204.5,95040600.0,203.442018
2016-04-07,205.139999,206.419998,203.089996,203.949997,113859000.0,202.894861
2016-04-06,204.190002,206.490005,203.979996,206.419998,91839800.0,205.352083
2016-04-05,204.669998,206.259995,203.889999,204.190002,99662200.0,203.133625
2016-04-04,206.830002,207.070007,205.889999,206.25,63497000.0,205.182965
2016-04-01,204.350006,207.139999,203.979996,206.919998,114423500.0,205.849497
2016-03-31,205.910004,206.410004,205.330002,205.520004,94584100.0,204.456746
2016-03-30,206.300003,206.869995,205.589996,206.020004,86365300.0,204.954159
2016-03-29,202.759995,205.25,202.399994,205.119995,92922900.0,204.058806
2016-03-28,203.610001,203.860001,202.710007,203.240005,62408200.0,202.188542
2016-03-24,202.0,203.160004,201.740005,203.119995,84360900.0,202.069153
2016-03-23,204.110001,204.330002,203.009995,203.210007,81052500.0,202.158699
2016-03-22,203.759995,205.229996,203.570007,204.559998,97471900.0,203.501706
